#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   3000
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
  2.000000e+04 -2.839947e+04 -2.966769e+09
  2.000000e+04 -2.838946e+04 -2.964554e+09
  2.000000e+04 -2.837946e+04 -2.962339e+09
  2.000000e+04 -2.836946e+04 -2.960124e+09
  2.000000e+04 -2.835945e+04 -2.957909e+09
  2.000000e+04 -2.834945e+04 -2.955695e+09
  2.000000e+04 -2.833945e+04 -2.953480e+09
  2.000000e+04 -2.832944e+04 -2.951265e+09
  2.000000e+04 -2.831944e+04 -2.949050e+09
  2.000000e+04 -2.830944e+04 -2.946835e+09
  2.000000e+04 -2.829943e+04 -2.944620e+09
  2.000000e+04 -2.828943e+04 -2.942406e+09
  2.000000e+04 -2.827943e+04 -2.940191e+09
  2.000000e+04 -2.826942e+04 -2.937976e+09
  2.000000e+04 -2.825942e+04 -2.935761e+09
  2.000000e+04 -2.824942e+04 -2.933546e+09
  2.000000e+04 -2.823941e+04 -2.931331e+09
  2.000000e+04 -2.822941e+04 -2.929117e+09
  2.000000e+04 -2.821941e+04 -2.926902e+09
  2.000000e+04 -2.820940e+04 -2.924687e+09
  2.000000e+04 -2.819940e+04 -2.922472e+09
  2.000000e+04 -2.818940e+04 -2.920257e+09
  2.000000e+04 -2.817939e+04 -2.918042e+09
  2.000000e+04 -2.816939e+04 -2.915828e+09
  2.000000e+04 -2.815939e+04 -2.913613e+09
  2.000000e+04 -2.814938e+04 -2.911398e+09
  2.000000e+04 -2.813938e+04 -2.909183e+09
  2.000000e+04 -2.812938e+04 -2.906968e+09
  2.000000e+04 -2.811937e+04 -2.904753e+09
  2.000000e+04 -2.810937e+04 -2.902539e+09
  2.000000e+04 -2.809937e+04 -2.900324e+09
  2.000000e+04 -2.808936e+04 -2.898109e+09
  2.000000e+04 -2.807936e+04 -2.895894e+09
