#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   1836
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
 -9.875578e+04  0.000000e+00  3.288191e+07
 -9.865578e+04  0.000000e+00  3.287862e+07
 -9.855578e+04  0.000000e+00  3.287526e+07
 -9.845578e+04  0.000000e+00  3.287183e+07
 -9.835578e+04  0.000000e+00  3.286833e+07
 -9.825578e+04  0.000000e+00  3.286476e+07
 -9.815578e+04  0.000000e+00  3.286113e+07
 -9.805578e+04  0.000000e+00  3.285743e+07
 -9.795578e+04  0.000000e+00  3.285366e+07
 -9.785578e+04  0.000000e+00  3.284982e+07
 -9.775578e+04  0.000000e+00  3.284592e+07
 -9.765578e+04  0.000000e+00  3.284196e+07
 -9.755578e+04  0.000000e+00  3.283793e+07
 -9.745578e+04  0.000000e+00  3.283383e+07
 -9.735578e+04  0.000000e+00  3.282967e+07
 -9.725578e+04  0.000000e+00  3.282545e+07
 -9.715578e+04  0.000000e+00  3.282117e+07
 -9.705578e+04  0.000000e+00  3.281683e+07
 -9.695578e+04  0.000000e+00  3.281242e+07
 -9.685578e+04  0.000000e+00  3.280796e+07
 -9.675578e+04  0.000000e+00  3.280343e+07
 -9.665578e+04  0.000000e+00  3.279885e+07
 -9.655578e+04  0.000000e+00  3.279420e+07
 -9.645578e+04  0.000000e+00  3.278950e+07
 -9.635578e+04  0.000000e+00  3.278474e+07
 -9.625578e+04  0.000000e+00  3.277992e+07
 -9.615578e+04  0.000000e+00  3.277505e+07
 -9.605578e+04  0.000000e+00  3.277012e+07
 -9.595578e+04  0.000000e+00  3.276513e+07
 -9.585578e+04  0.000000e+00  3.276009e+07
 -9.575578e+04  0.000000e+00  3.275499e+07
 -9.565578e+04  0.000000e+00  3.274985e+07
 -9.555578e+04  0.000000e+00  3.274464e+07
 -9.545578e+04  0.000000e+00  3.273939e+07
 -9.535578e+04  0.000000e+00  3.273408e+07
 -9.525578e+04  0.000000e+00  3.272872e+07
 -9.515578e+04  0.000000e+00  3.272331e+07
 -9.505578e+04  0.000000e+00  3.271784e+07
 -9.495578e+04  0.000000e+00  3.271233e+07
 -9.485578e+04  0.000000e+00  3.270677e+07
 -9.475578e+04  0.000000e+00  3.270116e+07
 -9.465578e+04  0.000000e+00  3.269550e+07
