			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.3569	9.7252	23.352371	-3159.7039
-87.3561	9.7259	23.472744	-3161.1257
-87.3553	9.7266	23.593117	-3162.5063
-87.3545	9.7273	23.71349	-3163.2856
-87.3536	9.7280	23.833862	-3163.824
-87.3528	9.7287	23.954235	-3163.8416
-87.3520	9.7294	24.074608	-3163.4563
-87.3512	9.7302	24.19498	-3162.8738
-87.3503	9.7309	24.315353	-3161.3494
-87.3495	9.7316	24.435726	-3160.382
-87.3487	9.7323	24.556099	-3157.6282
-87.3479	9.7330	24.676472	-3154.0627
-87.3470	9.7337	24.796844	-3149.23
-87.3462	9.7344	24.917217	-3143.3635
-87.3454	9.7351	25.03759	-3137.848
-87.3446	9.7359	25.157963	-3133.417
-87.3437	9.7366	25.278336	-3130.469
-87.3429	9.7373	25.398708	-3129.6875
-87.3421	9.7380	25.519081	-3131.5964
-87.3412	9.7387	25.639454	-3133.394
-87.3404	9.7394	25.759827	-3135.8667
-87.3396	9.7401	25.8802	-3137.5894
-87.3388	9.7409	26.000572	-3137.3
-87.3379	9.7416	26.120945	-3137.6306
-87.3371	9.7423	26.241318	-3158.3892
-87.3363	9.7430	26.36169	-3177.4421
-87.3355	9.7437	26.482063	-3172.3616
-87.3346	9.7444	26.602436	-3171.0425
-87.3338	9.7451	26.722809	-3168.9856
-87.3330	9.7459	26.843182	-3166.1702
-87.3322	9.7466	26.963554	-3162.7668
-87.3313	9.7473	27.083927	-3158.9868
-87.3305	9.7480	27.2043	-3155.0574
-87.3297	9.7487	27.324673	-3151.3616
-87.3289	9.7494	27.445045	-3148.2776
-87.3280	9.7501	27.565418	-3146.175
-87.3272	9.7508	27.685791	-3145.5981
-87.3264	9.7516	27.806164	-3146.7632
-87.3256	9.7523	27.926537	-3149.4084
-87.3247	9.7530	28.04691	-3152.913
-87.3239	9.7537	28.167282	-3156.5242
-87.3231	9.7544	28.287655	-3159.562
-87.3223	9.7551	28.408028	-3161.632
-87.3214	9.7558	28.5284	-3162.457
-87.3206	9.7566	28.648773	-3161.904
-87.3198	9.7573	28.769146	-3160.0554
-87.3189	9.7580	28.889519	-3157.1658
-87.3181	9.7587	29.009892	-3153.611
-87.3173	9.7594	29.130264	-3149.898
-87.3165	9.7601	29.250637	-3146.5305
-87.3156	9.7608	29.37101	-3143.9316
-87.3148	9.7616	29.491383	-3142.2402
-87.3140	9.7623	29.611755	-3141.5425
-87.3132	9.7630	29.732128	-3141.882
-87.3123	9.7637	29.8525	-3143.3325
-87.3115	9.7644	29.972874	-3145.8372
-87.3107	9.7651	30.093246	-3149.2122
-87.3099	9.7658	30.21362	-3153.4385
-87.3090	9.7665	30.333992	-3158.3813
-87.3082	9.7673	30.454365	-3163.7644
-87.3074	9.7680	30.574738	-3169.1077
-87.3066	9.7687	30.69511	-3173.9622
-87.3057	9.7694	30.815483	-3177.8992
-87.3049	9.7701	30.935856	-3180.5664
-87.3041	9.7708	31.056229	-3181.694
-87.3033	9.7715	31.176601	-3181.151
-87.3024	9.7723	31.296974	-3179.1477
-87.3016	9.7730	31.417347	-3176.0786
-87.3008	9.7737	31.53772	-3172.563
-87.2999	9.7744	31.658092	-3169.247
-87.2991	9.7751	31.778465	-3166.5974
-87.2983	9.7758	31.898838	-3164.9226
-87.2975	9.7765	32.01921	-3164.288
-87.2966	9.7772	32.139584	-3164.4717
-87.2958	9.7780	32.259956	-3165.1125
-87.2950	9.7787	32.38033	-3165.601
-87.2942	9.7794	32.5007	-3165.4077
-87.2933	9.7801	32.621075	-3164.12
-87.2925	9.7808	32.741447	-3161.8967
-87.2917	9.7815	32.86182	-3159.0886
-87.2909	9.7822	32.982193	-3156.196
-87.2900	9.7830	33.102566	-3153.538
-87.2892	9.7837	33.22294	-3151.3499
-87.2884	9.7844	33.34331	-3149.805
-87.2876	9.7851	33.463684	-3148.939
-87.2867	9.7858	33.584057	-3148.6658
-87.2859	9.7865	33.70443	-3148.8389
-87.2851	9.7872	33.824802	-3149.1357
-87.2842	9.7880	33.945175	-3149.2869
-87.2834	9.7887	34.065548	-3149.314
-87.2826	9.7894	34.18592	-3149.4092
-87.2818	9.7901	34.306293	-3149.6438
-87.2809	9.7908	34.426666	-3150.0427
-87.2801	9.7915	34.54704	-3150.584
