#SPATIAL.ascii 1
SimpleDB {
  num-values =      3
  value-names =  rate_amplitude_x  rate_amplitude_y  rate_start_time
  value-units =  m/year  m/year  year
  num-locs =   1836
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
 -1.073558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.072558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.071558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.070558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.069558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.068558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.067558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.066558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.065558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.064558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.063558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.062558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.061558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.060558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.059558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.058558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.057558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.056558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.055558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.054558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.053558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.052558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.051558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
 -1.050558e+05  0.000000e+00  0.000000e+00 -0.000000e+00  0.000000e+00
